Rk,Gtm,Date,Unnamed: 3,Opp,Rslt,Tm,Opp.1,OT,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,FG.1,FGA.1,FG%.1,3P.1,3PA.1,3P%.1,2P.1,2PA.1,2P%.1,eFG%.1,FT.1,FTA.1,FT%.1,ORB.1,DRB.1,TRB.1,AST.1,STL.1,BLK.1,TOV.1,PF.1
14,14,2021-11-16,@,BRK,W,117,99,,41,79,.519,13,40,.325,28,39,.718,.601,22,28,.786,9,44,53,25,4,8,22,27,34,88,.386,10,36,.278,24,52,.462,.443,21,27,.778,9,29,38,21,12,2,12,23
15,15,2021-11-18,@,CLE,W,104,89,,41,83,.494,15,43,.349,26,40,.650,.584,7,8,.875,5,29,34,36,12,2,11,17,34,80,.425,12,39,.308,22,41,.537,.500,9,16,.563,13,29,42,22,6,3,20,11
16,16,2021-11-19,@,DET,W,105,102,,38,80,.475,12,30,.400,26,50,.520,.550,17,21,.810,14,34,48,22,8,4,19,23,32,80,.400,14,42,.333,18,38,.474,.488,24,30,.800,11,24,35,21,11,7,13,22
17,17,2021-11-21,,TOR,W,119,104,,39,79,.494,22,45,.489,17,34,.500,.633,19,24,.792,8,39,47,31,5,7,16,18,39,99,.394,15,37,.405,24,62,.387,.470,11,20,.550,18,29,47,25,7,4,11,21
18,18,2021-11-24,,PHI,W,116,96,,42,80,.525,15,38,.395,27,42,.643,.619,17,24,.708,4,37,41,32,7,5,16,21,34,80,.425,8,28,.286,26,52,.500,.475,20,22,.909,8,33,41,17,10,7,21,22
19,19,2021-11-26,,POR,W,118,103,,47,87,.540,12,37,.324,35,50,.700,.609,12,16,.750,11,37,48,31,8,5,15,19,36,86,.419,13,38,.342,23,48,.479,.494,18,23,.783,7,30,37,23,7,2,10,13
20,20,2021-11-28,@,LAC,W,105,90,,38,86,.442,17,40,.425,21,46,.457,.541,12,22,.545,11,32,43,25,19,2,17,27,32,80,.400,9,28,.321,23,52,.442,.456,17,25,.680,15,32,47,18,8,3,25,21
21,21,2021-11-30,@,PHO,L,96,104,,36,86,.419,14,40,.350,22,46,.478,.500,10,14,.714,15,36,51,25,7,5,23,13,43,87,.494,12,30,.400,31,57,.544,.563,6,11,.545,8,27,35,28,12,4,13,12
22,22,2021-12-03,,PHO,W,118,96,,45,92,.489,19,39,.487,26,53,.491,.592,9,12,.750,11,40,51,30,10,8,17,29,31,81,.383,8,22,.364,23,59,.390,.432,26,35,.743,9,29,38,23,9,3,16,15
23,23,2021-12-04,,SAS,L,107,112,,40,90,.444,13,39,.333,27,51,.529,.517,14,21,.667,11,34,45,26,6,2,13,18,42,88,.477,12,35,.343,30,53,.566,.545,16,19,.842,11,34,45,24,10,4,12,17
24,24,2021-12-06,,ORL,W,126,95,,43,87,.494,20,40,.500,23,47,.489,.609,20,29,.690,7,36,43,28,15,2,15,19,33,76,.434,11,38,.289,22,38,.579,.507,18,22,.818,5,33,38,18,10,4,23,20
25,25,2021-12-08,,POR,W,104,94,,33,83,.398,14,46,.304,19,37,.514,.482,24,31,.774,10,37,47,22,9,3,16,19,33,80,.413,8,30,.267,25,50,.500,.463,20,28,.714,7,35,42,24,5,3,16,24
26,26,2021-12-11,@,PHI,L,93,102,,34,85,.400,12,48,.250,22,37,.595,.471,13,18,.722,10,32,42,21,5,5,13,22,35,76,.461,9,27,.333,26,49,.531,.520,23,26,.885,5,39,44,19,7,5,13,16
27,27,2021-12-13,@,IND,W,102,100,,42,84,.500,8,30,.267,34,54,.630,.548,10,14,.714,9,38,47,21,6,6,18,25,35,87,.402,7,30,.233,28,57,.491,.443,23,31,.742,13,29,42,16,11,5,10,18
28,28,2021-12-14,@,NYK,W,105,96,,35,77,.455,15,40,.375,20,37,.541,.552,20,27,.741,7,42,49,28,3,6,12,22,30,83,.361,16,42,.381,14,41,.341,.458,20,22,.909,4,31,35,18,6,6,9,21
29,29,2021-12-17,@,BOS,W,111,107,,39,90,.433,16,46,.348,23,44,.523,.522,17,21,.810,12,33,45,27,9,8,14,25,36,82,.439,15,41,.366,21,41,.512,.530,20,29,.690,11,34,45,20,5,2,16,19
30,30,2021-12-18,@,TOR,L,100,119,,37,79,.468,11,36,.306,26,43,.605,.538,15,21,.714,11,36,47,26,5,5,20,21,45,90,.500,14,38,.368,31,52,.596,.578,15,23,.652,12,29,41,26,13,3,11,21
31,31,2021-12-20,,SAC,W,113,98,,46,88,.523,15,37,.405,31,51,.608,.608,6,9,.667,10,32,42,28,12,9,16,18,37,83,.446,13,32,.406,24,51,.471,.524,11,16,.688,6,31,37,23,10,3,21,9
32,32,2021-12-23,,MEM,W,113,104,,40,82,.488,19,40,.475,21,42,.500,.604,14,18,.778,8,31,39,30,9,9,19,19,38,90,.422,8,26,.308,30,64,.469,.467,20,24,.833,14,28,42,18,10,6,13,20
33,33,2021-12-25,@,PHO,W,116,107,,42,85,.494,14,37,.378,28,48,.583,.576,18,21,.857,12,30,42,28,11,7,11,22,40,83,.482,11,30,.367,29,53,.547,.548,16,16,1.000,9,28,37,20,5,2,13,17
34,34,2021-12-28,,DEN,L,86,89,,30,72,.417,10,32,.313,20,40,.500,.486,16,31,.516,8,35,43,20,8,2,17,20,34,83,.410,8,33,.242,26,50,.520,.458,13,20,.650,13,31,44,24,10,5,16,19
35,35,2022-01-01,@,UTA,W,123,116,,46,86,.535,17,32,.531,29,54,.537,.634,14,21,.667,7,33,40,39,10,2,15,24,40,92,.435,14,44,.318,26,48,.542,.511,22,28,.786,15,30,45,19,7,0,13,21
36,36,2022-01-03,,MIA,W,115,108,,45,92,.489,14,38,.368,31,54,.574,.565,11,13,.846,7,36,43,39,11,6,12,17,37,90,.411,17,42,.405,20,48,.417,.506,17,19,.895,11,38,49,24,5,2,19,13
37,37,2022-01-05,@,DAL,L,82,99,,33,81,.407,5,28,.179,28,53,.528,.438,11,16,.688,8,38,46,20,10,5,17,20,33,87,.379,12,40,.300,21,47,.447,.448,21,26,.808,10,36,46,22,6,5,12,15
38,38,2022-01-06,@,NOP,L,96,101,,37,87,.425,7,33,.212,30,54,.556,.466,15,18,.833,8,35,43,22,12,6,14,24,35,83,.422,8,34,.235,27,49,.551,.470,23,29,.793,8,38,46,20,7,5,17,18
39,39,2022-01-09,,CLE,W,96,82,,39,97,.402,10,42,.238,29,55,.527,.454,8,10,.800,22,32,54,24,16,5,15,20,32,75,.427,7,24,.292,25,51,.490,.473,11,18,.611,8,34,42,21,9,3,19,10
40,40,2022-01-11,@,MEM,L,108,116,,35,82,.427,13,36,.361,22,46,.478,.506,25,29,.862,4,41,45,25,8,5,17,19,44,100,.440,14,34,.412,30,66,.455,.510,14,18,.778,11,38,49,30,11,8,11,18
41,41,2022-01-13,@,MIL,L,99,118,,33,95,.347,16,48,.333,17,47,.362,.432,17,24,.708,12,37,49,20,9,2,15,15,44,86,.512,18,41,.439,26,45,.578,.616,12,18,.667,5,49,54,29,10,7,17,16
42,42,2022-01-14,@,CHI,W,138,96,,53,94,.564,19,42,.452,34,52,.654,.665,13,17,.765,9,38,47,39,12,5,7,17,37,87,.425,10,38,.263,27,49,.551,.483,12,18,.667,10,26,36,26,4,5,14,19
43,43,2022-01-16,@,MIN,L,99,119,,32,82,.390,13,42,.310,19,40,.475,.470,22,29,.759,7,40,47,20,6,3,15,17,45,91,.495,16,43,.372,29,48,.604,.582,13,20,.650,6,41,47,30,8,9,16,21
44,44,2022-01-18,,DET,W,102,86,,34,83,.410,14,42,.333,20,41,.488,.494,20,27,.741,13,41,54,26,12,3,13,25,30,85,.353,9,34,.265,21,51,.412,.406,17,24,.708,11,39,50,18,4,5,16,23
45,45,2022-01-20,,IND,L,117,121,OT,42,94,.447,9,42,.214,33,52,.635,.495,24,29,.828,15,38,53,28,11,6,21,28,41,95,.432,15,35,.429,26,60,.433,.511,24,34,.706,13,35,48,23,12,3,18,23
46,46,2022-01-21,,HOU,W,105,103,,39,81,.481,10,30,.333,29,51,.569,.543,17,22,.773,7,34,41,25,4,9,19,18,38,89,.427,10,35,.286,28,54,.519,.483,17,20,.850,8,31,39,25,10,3,12,15
47,47,2022-01-23,,UTA,W,94,92,,36,83,.434,13,42,.310,23,41,.561,.512,9,10,.900,10,30,40,19,8,5,10,19,31,81,.383,11,35,.314,20,46,.435,.451,19,23,.826,17,34,51,17,7,2,12,13
48,48,2022-01-25,,DAL,W,130,92,,49,92,.533,17,43,.395,32,49,.653,.625,15,18,.833,12,46,58,31,8,2,14,17,32,91,.352,10,40,.250,22,51,.431,.407,18,18,1.000,10,29,39,17,9,4,11,17
49,49,2022-01-27,,MIN,W,124,115,,44,82,.537,21,36,.583,23,46,.500,.665,15,21,.714,10,37,47,31,8,3,19,23,42,95,.442,10,44,.227,32,51,.627,.495,21,27,.778,10,31,41,22,10,4,9,15
50,50,2022-01-29,,BRK,W,110,106,,40,98,.408,14,45,.311,26,53,.491,.480,16,18,.889,16,39,55,24,8,8,12,23,39,98,.398,11,28,.393,28,70,.400,.454,17,21,.810,18,34,52,21,7,10,11,15
51,51,2022-01-31,@,HOU,W,122,108,,43,80,.538,17,40,.425,26,40,.650,.644,19,23,.826,7,34,41,23,10,8,15,24,36,84,.429,16,43,.372,20,41,.488,.524,20,29,.690,9,28,37,25,4,3,17,19
52,52,2022-02-01,@,SAS,W,124,120,,43,96,.448,20,46,.435,23,50,.460,.552,18,18,1.000,15,31,46,30,10,3,16,17,46,83,.554,16,33,.485,30,50,.600,.651,12,17,.706,5,29,34,33,7,7,14,17
53,53,2022-02-03,,SAC,W,126,114,,47,84,.560,20,42,.476,27,42,.643,.679,12,16,.750,9,31,40,27,11,3,16,19,42,80,.525,11,31,.355,31,49,.633,.594,19,23,.826,5,20,25,29,13,3,16,16
54,54,2022-02-07,@,OKC,W,110,98,,41,82,.500,15,43,.349,26,39,.667,.591,13,17,.765,6,34,40,30,12,3,15,19,37,90,.411,11,36,.306,26,54,.481,.472,13,17,.765,18,32,50,21,8,2,18,14
55,55,2022-02-09,@,UTA,L,85,111,,28,78,.359,16,43,.372,12,35,.343,.462,13,17,.765,3,32,35,17,8,3,13,19,41,89,.461,17,51,.333,24,38,.632,.556,12,17,.706,11,41,52,26,3,9,12,16
56,56,2022-02-10,,NYK,L,114,116,,42,91,.462,15,45,.333,27,46,.587,.544,15,17,.882,5,33,38,27,4,5,8,24,39,90,.433,14,36,.389,25,54,.463,.511,24,33,.727,16,35,51,24,3,3,15,18
57,57,2022-02-12,,LAL,W,117,115,,40,90,.444,12,38,.316,28,52,.538,.511,25,34,.735,10,40,50,24,4,3,9,24,41,88,.466,11,27,.407,30,61,.492,.528,22,33,.667,12,36,48,25,5,6,9,24
58,58,2022-02-14,@,LAC,L,104,119,,39,86,.453,16,41,.390,23,45,.511,.547,10,13,.769,7,31,38,23,7,3,14,18,48,85,.565,15,34,.441,33,51,.647,.653,8,15,.533,6,37,43,25,6,3,12,18
59,59,2022-02-16,,DEN,L,116,117,,45,87,.517,10,34,.294,35,53,.660,.575,16,24,.667,8,29,37,26,13,5,11,21,43,91,.473,14,36,.389,29,55,.527,.549,17,21,.810,12,36,48,27,5,1,19,18
60,60,2022-02-24,@,POR,W,132,95,,45,88,.511,15,41,.366,30,47,.638,.597,27,32,.844,10,36,46,36,10,7,12,23,31,79,.392,9,35,.257,22,44,.500,.449,24,29,.828,6,25,31,16,5,4,18,29
61,61,2022-02-27,,DAL,L,101,107,,39,91,.429,11,39,.282,28,52,.538,.489,12,20,.600,12,32,44,27,15,2,11,23,39,78,.500,13,34,.382,26,44,.591,.583,16,20,.800,6,39,45,16,5,7,18,18
62,62,2022-03-01,@,MIN,L,114,129,,41,90,.456,13,45,.289,28,45,.622,.528,19,22,.864,8,32,40,26,11,3,17,25,47,89,.528,16,40,.400,31,49,.633,.618,19,23,.826,6,36,42,27,10,2,16,20
63,63,2022-03-03,@,DAL,L,113,122,,44,81,.543,15,30,.500,29,51,.569,.636,10,13,.769,10,27,37,26,7,5,15,19,45,85,.529,17,37,.459,28,48,.583,.629,15,20,.750,8,24,32,29,7,1,10,16
64,64,2022-03-05,@,LAL,L,116,124,,46,92,.500,15,34,.441,31,58,.534,.582,9,19,.474,10,31,41,22,11,4,16,20,44,89,.494,18,41,.439,26,48,.542,.596,18,21,.857,12,35,47,25,10,6,20,18
65,65,2022-03-07,@,DEN,L,124,131,,45,88,.511,17,40,.425,28,48,.583,.608,17,23,.739,9,32,41,29,5,0,14,30,46,84,.548,10,32,.313,36,52,.692,.607,29,41,.707,7,34,41,39,8,5,9,25
66,66,2022-03-08,,LAC,W,112,97,,44,92,.478,13,34,.382,31,58,.534,.549,11,13,.846,10,41,51,33,8,6,16,20,33,93,.355,12,39,.308,21,54,.389,.419,19,23,.826,12,35,47,23,12,3,13,12
67,67,2022-03-10,@,DEN,W,113,102,,42,88,.477,14,42,.333,28,46,.609,.557,15,20,.750,8,28,36,26,9,4,8,25,35,84,.417,7,31,.226,28,53,.528,.458,25,32,.781,12,37,49,19,5,6,13,20
68,68,2022-03-12,,MIL,W,122,109,,45,93,.484,18,45,.400,27,48,.563,.581,14,15,.933,12,43,55,33,3,7,12,19,38,92,.413,17,44,.386,21,48,.438,.505,16,23,.696,8,31,39,27,8,2,5,16
69,69,2022-03-14,,WAS,W,126,112,,45,84,.536,18,45,.400,27,39,.692,.643,18,22,.818,6,38,44,26,7,4,13,21,42,82,.512,10,26,.385,32,56,.571,.573,18,23,.783,5,30,35,28,7,1,12,18
70,70,2022-03-16,,BOS,L,88,110,,32,86,.372,11,48,.229,21,38,.553,.436,13,16,.813,7,31,38,19,8,4,8,21,38,81,.469,15,40,.375,23,41,.561,.562,19,22,.864,8,45,53,23,4,4,10,15
71,71,2022-03-20,,SAS,L,108,110,,41,90,.456,11,33,.333,30,57,.526,.517,15,21,.714,20,37,57,26,5,1,15,20,38,98,.388,15,40,.375,23,58,.397,.464,19,25,.760,17,27,44,25,7,2,11,18
72,72,2022-03-22,@,ORL,L,90,94,,34,85,.400,11,32,.344,23,53,.434,.465,11,16,.688,12,36,48,21,6,3,18,23,34,79,.430,10,36,.278,24,43,.558,.494,16,20,.800,6,33,39,25,9,6,14,14
73,73,2022-03-23,@,MIA,W,118,104,,40,77,.519,15,36,.417,25,41,.610,.617,23,27,.852,7,38,45,23,5,2,13,24,37,85,.435,14,36,.389,23,49,.469,.518,16,21,.762,8,26,34,26,8,1,10,19
74,74,2022-03-25,@,ATL,L,110,121,,43,90,.478,14,41,.341,29,49,.592,.556,10,13,.769,14,33,47,27,4,1,16,22,46,89,.517,14,37,.378,32,52,.615,.596,15,19,.789,12,32,44,27,11,4,12,18
75,75,2022-03-27,@,WAS,L,115,123,,38,89,.427,8,33,.242,30,56,.536,.472,31,39,.795,13,33,46,20,8,2,10,24,44,84,.524,16,28,.571,28,56,.500,.619,19,22,.864,5,37,42,33,5,8,12,24
76,76,2022-03-28,@,MEM,L,95,123,,33,81,.407,9,29,.310,24,52,.462,.463,20,26,.769,7,33,40,18,6,7,17,27,43,92,.467,12,30,.400,31,62,.500,.533,25,35,.714,13,39,52,26,11,3,14,21
77,77,2022-03-30,,PHO,L,103,107,,35,83,.422,13,38,.342,22,45,.489,.500,20,25,.800,10,38,48,26,7,4,21,24,38,92,.413,7,28,.250,31,64,.484,.451,24,30,.800,12,34,46,20,9,1,14,19
78,78,2022-04-02,,UTA,W,111,107,,40,84,.476,20,48,.417,20,36,.556,.595,11,12,.917,6,35,41,30,5,6,11,22,38,89,.427,15,46,.326,23,43,.535,.511,16,22,.727,12,35,47,19,8,2,13,17
79,79,2022-04-03,@,SAC,W,109,90,,41,79,.519,16,34,.471,25,45,.556,.620,11,15,.733,7,40,47,29,8,8,17,28,31,81,.383,7,33,.212,24,48,.500,.426,21,24,.875,6,29,35,19,5,1,13,15
80,80,2022-04-07,,LAL,W,128,112,,51,97,.526,16,32,.500,35,65,.538,.608,10,10,1.000,9,36,45,39,10,5,15,26,37,83,.446,9,32,.281,28,51,.549,.500,29,38,.763,8,34,42,14,8,4,19,13
81,81,2022-04-09,@,SAS,W,100,94,,33,81,.407,8,32,.250,25,49,.510,.457,26,33,.788,13,38,51,23,8,1,12,22,32,80,.400,10,31,.323,22,49,.449,.463,20,27,.741,4,37,41,19,5,3,12,24
82,82,2022-04-10,@,NOP,W,128,107,,49,81,.605,19,33,.576,30,48,.625,.722,11,13,.846,7,34,41,33,5,2,17,15,42,99,.424,14,40,.350,28,59,.475,.495,9,12,.750,18,24,42,24,10,0,12,17
,,,,,53-29,9102,8648,,3323,7087,.469,1176,3231,.364,2147,3856,.557,.552,1280,1665,.769,800,2930,3730,2223,719,372,1221,1723,3111,7098,.438,1000,2948,.339,2111,4150,.509,.509,1426,1880,.759,792,2705,3497,1875,649,317,1189,1474
